"","ano","semana_epidemiologica","fecha_inicio_semana_epidemiologica","grupo_etario","departamento_residencia","n_notificaciones","n_confirmados_probables_fis","n_confirmados_por_laboratorio","n_internados_fecha_internacion","n_internados_uti_fecha_internacion","n_fallecidos_confirmados_por_laboratorio","Latitude","Longitud"
"1",2022,27,2022-07-03,"[40,50)","COMUNA 15",1,0,0,0,0,0,"-34.754.920","-58.250.315"
"2",2022,28,2022-07-10,"[50,60)","COMUNA 15",1,0,0,0,0,0,"-34.754.920","-58.250.315"
"3",2022,28,2022-07-10,"[20,30)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
"4",2022,28,2022-07-10,"[40,50)","COMUNA 7",1,0,0,0,0,0,"-34.643.225","-58.332.644"
"5",2022,31,2022-07-31,"[30,40)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"6",2022,31,2022-07-31,"[50,60)","SIN DATOS",1,0,0,0,0,0,NA,NA
"7",2022,32,2022-08-07,"[60,70)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"8",2022,33,2022-08-14,"[20,30)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"9",2022,36,2022-09-04,"[60,70)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"10",2022,37,2022-09-11,"[30,40)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"11",2022,38,2022-09-18,"[50,60)","COMUNA 1",1,0,0,0,0,0,"-34.602.312","-58.381.772"
"12",2022,38,2022-09-18,"[0,10)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"13",2022,38,2022-09-18,"[20,30)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"14",2022,39,2022-09-25,"[20,30)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"15",2022,39,2022-09-25,"[60,70)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"16",2022,39,2022-09-25,"[30,40)","COMUNA 2",1,0,0,0,0,0,"-34.606.241","-58.374.636"
"17",2022,39,2022-09-25,"[30,40)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
"18",2022,39,2022-09-25,"[10,20)","COMUNA 6",1,0,0,0,0,0,"-34.633.553","-58.341.546"
"19",2022,39,2022-09-25,"[10,20)","COMUNA 8",1,0,0,0,0,0,"-34.653.956","-58.323.426"
"20",2022,39,2022-09-25,"[10,20)","COMUNA 9",1,0,0,0,0,0,"-34.665.705","-58.313.885"
"21",2022,41,2022-10-09,"[50,60)","COMUNA 10",1,0,0,0,0,0,"-34.678.425","-58.304.051"
"22",2022,42,2022-10-16,"[30,40)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"23",2022,42,2022-10-16,"[20,30)","COMUNA 5",1,0,0,0,0,0,"-34.624.987","-58.350.197"
